service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11,0,1,0,0,0,0,0,20230213,20261231
18,0,0,0,0,0,0,1,20230213,20261231
19,0,0,0,0,0,1,1,20230213,20261231
20,0,0,0,0,0,1,0,20230213,20261231
1,1,1,1,1,1,1,0,20221023,20261231
2,1,1,1,1,1,1,1,20230213,20261231
3,1,1,1,1,1,0,0,20230213,20261231
9,1,1,1,1,1,1,1,20230213,20261231
12,1,1,1,1,1,0,0,20230213,20261231
13,1,1,1,1,1,1,0,20230213,20261231
14,1,1,1,1,1,1,0,20230213,20261231
23,1,1,1,1,1,0,0,20240213,20261231
school_fall_2024,1,1,1,1,1,0,0,20240805,20261231
