route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_branding_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off
1,1,1,Hilo Kona,,3,http://www.heleonbus.org/sandbox/Route%201.pdf,,FFCC99,000000,,0,0
2,1,2,Blue Line Hilo / Kailua-Kona,,3,http://www.heleonbus.org/sandbox/Route%202.pdf,,0000FF,FFFFFF,,0,0
10,1,10,Hilo / Ocean View,,3,http://www.heleonbus.org/sandbox/Route%2010.pdf,,E36C09,FFFFFF,,0,0
11,1,11,RED Line Hilo / Volcano,,3,http://www.heleonbus.org/sandbox/Route%2011.pdf,,FF0000,FFFFFF,,0,0
12,1,12,Volcano/Ocean View,,3,http://www.heleonbus.org/sandbox/12.pdf,,FCD5B4,000000,,0,0
40,1,40,Pahoa,,3,http://www.heleonbus.org/sandbox/Route%2040.pdf,,548DD4,FFFFFF,,0,0
60,1,60,Hilo Waimea,,3,http://www.heleonbus.org/sandbox/Route%2060.pdf,,00CCFF,000000,,0,0
75,1,75,North Kohala Waikoloa Village Kona,,3,http://www.heleonbus.org/sandbox/Route%2075.pdf,,C2D69B,000000,,0,0
76,1,76,Greenline Honokaa Kona,,3,http://www.heleonbus.org/sandbox/Route%2076.pdf,,008000,FFFFFF,,0,0
80,1,80,Hilo South Kohala Resorts,,3,http://www.heleonbus.org/sandbox/Route%2080.pdf,,FFFF00,000000,,0,0
90,1,90,Pahala South Kohala Resorts,,3,http://www.heleonbus.org/sandbox/Route%2090.pdf,,8064A2,FFFFFF,,0,0
101,1,101,Intra Hilo Keaukaha,,3,http://www.heleonbus.org/sandbox/Route%20101.pdf,,CCC0D9,000000,,0,0
102,1,102,Intra Hilo Kaumana,,3,http://www.heleonbus.org/sandbox/Route%20102.pdf,,5F497A,FFFFFF,,0,0
103,1,103,Intra Hilo Waiakea UKA,,3,http://www.heleonbus.org/sandbox/Route%20103.pdf,,8064A2,FFFFFF,,0,0
104,1,104,Intra Hilo Mohouli,,3,http://www.heleonbus.org/sandbox/Route%20104.pdf,,E5DFEC,000000,,0,0
201,1,201,Kona Trolley,,3,http://www.heleonbus.org/sandbox/Route%20201.pdf,,FF00FF,FFFFFF,,0,0
202,1,202,Central Kailua-Kona,,3,http://www.heleonbus.org/sandbox/Route%20202.pdf,,FF00FF,FFFFFF,,0,0
203,1,203,North Kailua-Kona,,3,http://www.heleonbus.org/sandbox/203.pdf,,E6B8B7,000000,,0,0
204,1,204,South Kona/Captain Cook,,3,http://www.heleonbus.org/sandbox/Route%20204.pdf,,993366,FFFFFF,,0,0
301,1,301,Waimea Shuttle,,3,http://www.heleonbus.org/sandbox/Route%20301.pdf,,3366FF,FFFFFF,,0,0
401,1,401,Hawaiian Beaches Nanawale Kalapana,,3,http://www.heleonbus.org/sandbox/Route%20401.pdf,,800080,FFFFFF,,0,0
402,1,402,Hawaiian Paradise Park Orchidland Hawaiian Acres Ainaloa,,3,http://www.heleonbus.org/sandbox/Route%20402.pdf,,E5B8B7,000000,,0,0
403,1,403,Fern Acres,,3,http://www.heleonbus.org/sandbox/Route%20403.pdf,,C0504D,FFFFFF,,0,0
502,1,502,Waikola Village Tripper,,3,,,FFC000,000000,,,
504,1,504,Kealakekua Tripper,,3,,,FFC000,000000,,,
