trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
607,0,1,14:05:00,14:05:00,,,,,,0,1
607,1,86,14:07:00,14:07:00,,,,,,0.749,1
607,2,87,14:10:00,14:10:00,,,,,,1.166,1
607,3,59,14:15:00,14:15:00,,,,,,7.511,1
607,4,88,14:15:04,14:15:04,,,,,,7.666,1
607,5,89,14:16:04,14:16:04,,,,,,8.347,1
607,6,90,14:20:04,14:20:04,,,,,,13.037,1
607,7,53,14:21:04,14:21:04,,,,,,14.062,1
607,8,293,14:40:04,14:40:04,,,,,,19.319,1
607,9,61,14:50:04,14:50:04,,,,,,22.001,1
607,10,294,14:52:42,14:52:42,,,,,,28.773,1
607,11,295,14:55:42,14:55:42,,,,,,37.014,1
607,12,62,15:02:42,15:02:42,,,,,,38.319,1
607,13,296,15:04:43,15:04:43,,,,,,44.984,1
607,14,63,15:10:43,15:10:43,,,,,,55.797,1
607,15,46,15:19:43,15:19:43,,,,,,68.284,1
608,0,297,20:26:00,20:26:00,,,,,,24.666,1
608,1,49,20:35:00,20:35:00,,,,,,35.715,1
608,2,301,20:42:46,20:42:46,,,,,,46.593,0
608,3,50,20:45:00,20:45:00,,,,,,49.708,1
608,4,302,20:50:00,20:50:00,,,,,,54.473,1
608,5,303,20:52:56,20:52:56,,,,,,62.852,1
608,6,51,21:05:56,21:05:56,,,,,,69.517,1
608,7,329,21:15:56,21:15:56,,,,,,72.15,1
608,8,53,21:20:56,21:20:56,,,,,,77.734,1
608,9,54,21:21:56,21:21:56,,,,,,78.498,1
608,10,55,21:30:56,21:30:56,,,,,,83.155,1
608,11,56,21:31:56,21:31:56,,,,,,83.842,1
608,12,57,21:40:56,21:40:56,,,,,,90.177,1
608,13,1,21:45:56,21:45:56,,,,,,91.499,1
419,0,83,05:30:00,05:30:00,,,,,,0,1
419,1,413,05:39:00,05:39:00,,,,,,4.274,1
419,2,426,05:40:00,05:40:00,,,,,,4.872,1
419,3,132,05:54:00,05:54:00,,,,,,15.441,1
419,4,85,06:14:00,06:14:00,,,,,,29.532,1
