stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1,100,Mo'oheau Bus Terminal (329 Kamehameha Ave),Terminal hub,19.724013,-155.084657,,,,,,,
2,101,Aupuni Street @ Pauahi Street (Aupuni Center County Building),SB Stop,19.719167,-155.078861,,,,,,,
3,102,Hilo Lagoon,SB Stop between State bldg and Hilo Lagoon,19.718139,-155.077722,,,,,,,
4,103,Kilauea Avenue @ Across Kohala Street (Across from Hilo Shopping Center),SB Stop stop is across shopping center,19.709840,-155.076301,,,,,,,
6,105,Kapiolani St @ Lanikaula St - University of Hawai'i-Hilo,SB Stop at bus shelter,19.703609,-155.079006,,,,,,,
7,106,W. Kawili Street @ Waiakea High School,EB Stop,19.701454,-155.076278,,,,,,,
8,107,Kawili Street @ Hawai'i Community College,EB Stop,19.704774,-155.070678,,,,,,,
9,,E Kawili Street,EB Across Bank of Hawaii before Wiwoole Street,19.705778,-155.065056,,,,,,,
10,109,Target at Safeway,WB Flag Stop,19.699389,-155.060500,,,,,,,
11,110,Ohu Ohu Street @ Prince Kuhio Plaza (Macy's Men's Children & Home),SB Bus Shelter,19.697678,-155.061500,,,,,,,
12,901,Old Volcano Road @ Kea'au Pahoa Road (US Post Office),SB Flag Stop in front building,19.621644,-155.040006,,,,,,,
13,903,Kurtistown Highway 11 @ Kurtistown Park (across bus shelter),WB flag stop roadside at Kurtistown Park,19.591883,-155.059193,,,,,,,
14,911,Mountain View Highway 11 farside of Lauko Road (Frankie's Pizza/Gas Station),WB flag stop roadside in front of Frankies Pizza and Gas Station,19.551349,-155.106792,,,,,,,
15,912,Glenwood Highway 11 @ nearside of Glenwood Road (Hirano Store),WB flag stop roadside before Hirano Store Entrance,19.488233,-155.151487,,,,,,,
16,,Volcano Village Cooper Center,WB flag stop roadside in front of center,19.433784,-155.230361,,,,,,,
17,915,Volcano Village Volcano Post Office,WB flag stop in front of building,19.427889,-155.236028,,,,,,,
18,916,Volcano Village Volcano School of Arts and Science,WB flag stop at entrance at school,19.423606,-155.240919,,,,,,,
