trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
393,1,2,KONA,05:35 Kona Palisades TO Kona Commons,0,,1,1,1
1,1,14,KONA,09:30 Hilo TO Kona Mon-Sat + 2/4 Tues,0,,1,1,1
3,1,14,KONA,16:44 Hilo TO Kona Mon-Sat + 2/4 Tues,0,,1,1,1
4,1,14,HILO,07:45 Kona TO Hilo,1,,2,1,1
5,1,14,HILO,12:45 Kona TO Hilo,1,,2,1,1
7,1,14,KONA,09:30 Hilo TO Kona 1/3 Tues,1,,1,1,1
587,1,11,HILO,07:45 Kona TO Hilo 1/3 Tues,1,,2,1,1
588,1,11,HILO,12:45 Kona TO Hilo 1/3 Tues,1,,2,1,1
589,1,11,HILO,16:44 Hilo TO Kona 1/3 Tues,1,,1,1,1
6,1,18,KONA,16:44 Hilo TO Kona,0,,1,1,1
8,1,18,HILO,07:45 Kona TO Hilo,1,,2,1,1
9,1,18,HILO,12:45 Kona TO Hilo,1,,2,1,1
10,1,18,KONA,09:30 Hilo TO Kona 1/3 Tues,0,,1,1,1
505,2,14,KONA,04:30 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
501,2,11,KONA,04:30 Hilo TO Waikoloa Village TO Kona,1,,6,1,1
507,2,14,HILO,13:30 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
503,2,14,KONA,13:15 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
590,2,11,KONA,13:15 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
502,2,14,KONA,05:00 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
508,2,14,HILO,17:00 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
504,2,14,KONA,16:45 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
509,2,14,HILO,19:45 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
557,2,18,KONA,04:30 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
558,2,18,KONA,05:00 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
559,2,18,KONA,13:15 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
560,2,18,KONA,16:45 Hilo TO Waikoloa Village TO Kona,0,,6,1,1
561,2,18,HILO,13:30 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
563,2,18,HILO,17:00 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
564,2,18,HILO,19:45 Kona TO Waikoloa Village TO Hilo,1,,8,1,1
16,2,11,KONA,03:55 Hilo TO Waikoloa Village TO Kona 1/3 Tuesday,0,,6,1,1
19,2,11,HILO,12:00 Kona TO Waikoloa Village TO Hilo 1/3 Tuesday,1,,8,1,1
12,2,11,KONA,13:10 Hilo TO Waikoloa Village TO Kona 1/3 Tuesday,0,,6,1,1
17,2,11,KONA,04:50 Hilo TO Waikoloa Village TO Kona 1/3 Tuesday,0,,6,1,1
20,2,11,HILO,17:00 Kona TO Waikoloa Village TO Hilo 1/3 Tuesday,1,,8,1,1
13,2,11,KONA,16:40 Hilo TO Waikoloa Village TO Kona 1/3 Tuesday,0,,6,1,1
21,2,11,HILO,19:45 Kona TO Waikoloa Village TO Hilo 1/3 Tuesday,1,,8,1,1
22,10,1,HILO,06:40 Volcano TO Hilo,1,,10,1,1
23,10,1,Volcano,15:30 Hilo TO Volcano,0,,11,1,1
24,11,3,Volcano,05:00 Hilo TO Volcano,0,,4,1,1
29,11,3,HILO,06:15 Volcano TO Hilo,1,,13,1,1
25,11,3,Volcano,07:40 Hilo TO Volcano,0,,4,1,1
30,11,3,HILO,09:15 Volcano TO Hilo,1,,5,1,1
26,11,3,Volcano,10:40 Hilo TO Colvano,0,,4,1,1
31,11,3,HILO,12:15 Volcano TO Hilo,1,,5,1,1
27,11,3,Volcano,13:40 Hilo TO Volcano,0,,4,1,1
32,11,3,HILO,15:15 Volcano TO Hilo,1,,5,1,1
28,11,3,Volcano,16:40 Hilo TO Volcano,0,,104,1,1
33,11,3,HILO,18:15 Volcano TO Hilo,1,,5,1,1
424,11,19,Volcano,07:40 Hilo TO Volcano Sat-Sun,0,,4,1,1
426,11,19,HILO,09:15 Volcano TO Hilo Sat-Sun,1,,5,1,1
425,11,19,Volcano,10:40 Hilo TO Volcano Sat-Sun,0,,4,1,1
427,11,19,HILO,12:15 Volcano TO Hilo Sat-Sun,1,,5,1,1
428,11,19,Volcano,13:40 Hilo TO Volcano Sat-Sun,0,,4,1,1
429,11,19,HILO,15:15 Volcano TO Hilo Sat-Sun,1,,5,1,1
430,11,19,Volcano,16:40 Hilo TO Volcano Sat-Sun,0,,104,1,1
431,11,19,HILO,18:15 Volcano TO Hilo Sat-Sun,1,,5,1,1
510,12,1,Volcano,10:30 Ocean View TO Volcano,0,,9,1,1
511,12,1,Ocean VIEW,12:02 Volcano TO Ocean View,1,,7,1,1
512,12,1,Volcano,13:45 Ocean View TO Volcano,0,,9,1,1
513,12,1,Ocean VIEW,15:30 Volcano TO Ocean View,1,,7,1,1
514,12,18,Volcano,10:30 Ocean View TO Volcano,0,,9,1,1
515,12,18,Ocean VIEW,15:30 Volcano TO Ocean View,1,,7,1,1
34,40,2,HILO,05:30 Pahoa TO Hilo,1,,14,1,1
52,40,2,Pahoa,06:30 Hilo TO Pahoa,0,,16,1,1
36,40,2,HILO,07:30 Pahoa TO Hilo,1,,14,1,1
54,40,2,Pahoa,08:30 Hilo TO Pahoa,0,,16,1,1
38,40,2,HILO,09:30 Pahoa TO Hilo,1,,14,1,1
56,40,2,Pahoa,10:30 Hilo TO Pahoa,0,,16,1,1
40,40,2,HILO,11:30 Pahoa TO Hilo,1,,14,1,1
58,40,2,Pahoa,12:30 Hilo TO Pahoa,0,,16,1,1
42,40,2,HILO,13:30 Pahoa TO Hilo,1,,14,1,1
60,40,2,Pahoa,14:30 Hilo TO Pahoa,0,,16,1,1
44,40,2,HILO,15:30 Pahoa TO Hilo,1,,14,1,1
62,40,2,Pahoa,16:30 Hilo TO Pahoa,0,,16,1,1
46,40,2,HILO,17:30 Pahoa TO Hilo,1,,14,1,1
64,40,2,Pahoa,18:30 Hilo TO Pahoa,0,,16,1,1
48,40,2,HILO,19:30 Pahoa TO Hilo,1,,14,1,1
70,40,3,Pahoa,20:30 Hilo TO Pahoa,0,,16,1,1
51,40,3,HILO,21:30 Pahoa TO Hilo,1,,14,1,1
607,60,3,Honokaa,14:05 Hilo TO Honokaa,0,,17,1,1
608,60,3,HILO,20:26 Waimea TO Hilo,1,,19,1,1
419,60,3,HILO,05:30 Kona TO Hilo,1,,60,1,1
76,75,9,KONA Commons,06:55 Kona Airport TO Kona Commons,0,,24,1,1
79,75,9,KONA Airport,07:10 Kona Commons TO Kona Airport,1,,26,1,1
78,75,9,KONA Commons,22:20 Kona Airport TO Kona Commons,0,,24,1,1
81,75,9,KONA Airport,22:35 Kona Commons TO Kona Airport,1,,26,1,1
77,75,2,KONA Commons,06:15 Nkohala TO Waimea TO Kona,0,,22,1,1
80,75,2,Kapa'Au,14:45 Kona TO Kapa'Au,1,,23,1,1
89,75,2,KONA Airport,09:25 Kona Commons TO South Kohala Resorts,1,,20,1,
455,75,11,KONA Commons,06:55 Kona Airport TO Kona Commons 1/3 Tuesday,0,,24,1,1
456,75,11,KONA Airport,07:10 Kona Commons TO Kona Airport 1/3 Tuesday,1,,26,1,1
528,75,11,KONA Commons,22:20 Kona Airport TO Kona Commons 1/3 Tuesday,0,,24,1,1
605,75,11,KONA Airport,22:35 Kona Commons TO Kona Airport 1/3TUESDAY,1,,26,1,1
82,76,3,Honoka'A,05:45 Kona TO Honoka'A,0,,28,1,1
83,76,3,Honoka'A,06:45 Kona TO Honoka'A,0,,28,1,1
84,76,3,Honoka'A,18:00 Kona TO Honoka'A,0,,28,1,1
85,76,3,KONA,06:30 Honoka'A TO Kona,1,,27,1,1
86,76,3,KONA,08:09 Honoka'A TO Kona,1,,27,1,1
87,76,3,KONA,15:19 Honoka'A TO Kona,1,,27,1,1
523,76,11,Honoka'A,06:45 Kona TO Honoka'A 1/3 Tuesday,0,,28,1,1
88,80,3,KOA,03:15 Hilo TO Kona Airport,0,,96,1,1
90,80,3,HILO,13:55 Kona Airport TO Hilo,1,,52,1,1
92,80,9,KOA,03:35 Hilo TO Kona Airport,0,,96,1,1
94,80,9,HILO,07:30 Kona Airport TO Hilo,1,,52,1,1
96,80,9,KOA,04:15 Hilo TO Kona Airport,0,,96,1,1
98,80,9,HILO,16:00 South Kohala Resorts TO Hilo,1,,52,1,1
102,80,9,HILO,16:35 South Kohala Resorts TO Hilo,1,,52,1,1
104,80,9,KOA,05:00 Hilo TO Kona Airport,0,,96,1,1
108,80,9,KOA,11:00 Hilo TO Kona Airport,0,,96,1,1
110,80,9,HILO,15:15 Kona Airport TO Hilo,1,,52,1,1
116,80,9,KOA,19:15 Hilo TO Kona Airport,0,,96,1,1
118,80,9,HILO,23:00 Kona Airport TO Hilo,1,,52,1,1
453,80,19,KOA,03:15 Hilo TO Kona Airport,0,,96,1,1
454,80,19,HILO,13:55 Kona Airport TO Hilo,1,,52,1,1
91,80,11,HILO,13:55 Kona Airport TO Hilo 1/3 Tuesday,1,,52,1,1
93,80,11,KOA,03:35 Hilo TO Kona Airport 1/3 Tuesday,0,,96,1,1
95,80,11,HILO,07:30 Kona Airport TO Hilo 1/3 Tuesday,1,,52,1,1
97,80,11,KOA,04:15 Hilo TO Kona Airport 1/3 Tuesday,0,,96,1,1
99,80,11,HILO,15:15 Kona Airport TO Hilo 1/3 Tuesday,1,,52,1,1
103,80,11,HILO,16:35 Kona Airport TO Hilo 1/3 Tuesday,1,,52,1,1
105,80,11,KOA,05:00 Hilo TO Kona Airport 1/3 Tuesday,0,,96,1,1
106,80,11,HILO,16:00 South Kohala Resorts TO Hilo 1/3 Tuesday,1,,52,1,1
109,80,11,KOA,11:00 Hilo TO Kona Airport 1/3 Tuesday,0,,96,1,1
111,80,11,HILO,16:35 South Kohala Resorts TO Hilo 1/3 Tuesday,1,,52,1,1
117,80,11,KOA,19:15 Hilo TO Kona Airport 1/3 Tuesday,0,,96,1,1
119,80,11,HILO,23:00 Kona Airport TO Hilo 1/3 Tuesday,1,,52,1,1
120,90,2,SKR,03:30 Pahala TO South Kohala Resorts,0,,61,1,1
123,90,2,Pahala,07:15 South Kohala Resorts TO Pahala,1,,62,1,1
121,90,2,SKR,05:40 Pahala TO South Kohala Resorts,0,,61,1,1
530,90,2,Pahala,13:15 South Kohala Resorts TO Pahala,1,,62,1,1
122,90,2,SKR,08:00 Pahala TO South Kohala Resorts,0,,61,1,1
124,90,2,Pahala,15:00 South Kohala Resorts TO Pahala,1,,62,1,1
529,90,2,SKR,12:30 Pahala TO South Kohala Resorts,0,,61,1,1
125,90,2,Pahala,17:00 South Kohala Resorts TO Pahala,1,,62,1,1
126,101,13,Keaukaha,06:15 Hilo TO Keaukaha,0,,63,1,1
140,101,13,HILO,06:53 Keaukaha TO Hilo,1,,64,1,1
127,101,13,Keaukaha,07:15 Hilo TO Keaukaha,0,,63,1,1
141,101,13,HILO,07:53 Keaukaha TO Hilo,1,,64,1,1
128,101,13,Keaukaha,08:15 Hilo TO Keaukaha,0,,63,1,1
142,101,13,HILO,08:53 Keaukaha TO Hilo,1,,64,1,1
129,101,13,Keaukaha,09:15 Hilo TO Keaukaha,0,,63,1,1
143,101,13,HILO,09:53 Keaukaha TO Hilo,1,,64,1,1
130,101,13,Keaukaha,10:15 Hilo TO Keaukaha,0,,63,1,1
144,101,13,HILO,10:53 Keaukaha TO Hilo,1,,64,1,1
131,101,13,Keaukaha,11:15 Hilo TO Keaukaha,0,,63,1,1
145,101,13,HILO,11:53 Keaukaha TO Hilo,1,,64,1,1
132,101,13,Keaukaha,12:15 Hilo TO Keaukaha,0,,63,1,1
